PR_ID,Acer (Ahorn),Achillea-Typ (Schafgarben-Typ),Aesculus (Roßkastanie),Ailanthus (Götterbaum),Anemonen/Clematis-Typ*,Apiaceae (Doldenblütler),Arctium (Klette),Artemisia-Typ* (Beifuß-Typ),Asparagaceae (Spargelgewächse),Asparagus (Spargel),Aster-Solidago-Typ (Aster-Typ),Asteraceae (Korbblütler),Balsaminaceae (Springkrautgewächse),Begoniaceae (Schiefblattgewächse),Boraginaceae (Rauhblattgewächse),Borago (Borretsch),Brassicaceae  (Kreuzblütler),Bryonia (Zaunrübe),Buddleja (Schmetterlingsstrauch),Calystegia (Zaunwinde),Caprifoliaceae (Geißblattgewächse),Carduus-Typ (Distel-Typ),Caryophyllaceae (Nelkengewächse),Castanea sativa (Edelkastanie),Centaurea cyanus (Kornblume),Centaurea jacea (Flockenblume),Chenopodiaceae* (Gänsefußgewächse),Chenopodium* Gänsefuß,Cichorium-Typ (Wegwarten-T.),Colchicum (Herbstzeitlose),Convolvulaceae (Winden),Convolvulus (Ackerwinde),Cornus-Typ (Hartriegel-Typ),Dipsacaceae (Kardengewächse),Echinops (Kugeldistel),Echium (Natternkopf),Epilobium (Weidenröschen),Ericaceae (Heidekrautgewächse),Erodium (Reiherschnabel),Eschscholzia* (Goldmohn),Euodia (Bienenbaum),Euphorbiaceae (Wolfsmilchgewächse),Fabaceae (Hülsenfrüchtler),Fagopyrum (Buchweizen),Filipendula* (Mädesüß),Geranium (Storchschnabel),"Gleditsia (Gleditschie, Lederhülsenbaum)",Hedera (Efeu),Helianthus annuus (Sonnenblume),Helianthus-Typ (Sonnenblumen-Typ),Heracleum-Typ (Bärenklau-Typ),Hypericum* (Johanniskraut),Lamiaceae (Lippenblütler),Ligustrum (Rainweide),Liriodendron (Tulpenbaum),Malvaceae (Malvengewächse),Melilotus (Steinklee),Nymphaeaceae* (Seerosengewächse),Onagraceae (Nachtkerzengewächse),Papaver-Typ* (Mohn-Typ),Parthenocissus (Wilder Wein),Phacelia (Büschelschön),Pinus* (Kiefer),Plantaginaceae (Wegerichgewächse),Poaceae*  (Süßgräser),Potentilla (Fingerkraut),Prunus-Typ (Steinobst),Pulmonaria (Lungenkraut),Resedaceae (Reseden),Rhus (Essigbaum),Robinia (Scheinakazie),Rosa* (Rose),Rosaceae (Rosengewächse),Rumex* (Ampfer),Sambucus* (Holunder),Sanguisorba off.* (Wiesenknopf),Sapindaceae (Seifenbaumgewächse),Scrophulariaceae (Braunwurzgewächse),Sinapis-Typ (Senf-Typ),Solanaceae (Nachtschattengewächse),Symphoricarpus (Schneebeere),Symphytum (Beinwell),Taraxacum-Typ (Löwenzahn-Typ),Tilia (Linde),Trifolium pratense (Rotklee),Trifolium repens (Weißklee),Trifolium-Typ (Klee-Typ),Tropaeolaceae (Kapuzinerkressen),unbekannt,Verbascum (Königskerze),Zea mays* (Mais),zz,Gesamtsumme
2022804,,,,,,,,,"0,1",,"2,2","0,2",,,,"0,1",,,,,,,"0,1",,,,,"0,1",,,,,,,,,,,,,,"29,2",,,,,,21,,"0,2",,,"0,1",,,,,,,,,,,"3,6",,,,,,,,,,,,,,,"32,8",,,,"8,8",,,,"0,1",,"1,4",,,,100
2022805,,,,,"4,8",,,,,,,,"0,2","1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,4","2,2",,,"0,2",,,,,,,,,,,,1,,,,,,,,,"0,1",,,,,,"5,4",,,,"0,8",,,,,,,,,,"99,7"
2022806,,,,,"40,4",,,,,,,,,"0,6",,,,,,,,"0,6","0,1",,,,"0,2",,,,,,,,,,,,,,,,,,,,,"1,2",,"0,2",,"4,4",,,,,,,,,,1,,"14,6",,,,,,,,,,,,,,1,16,"2,4",,,17,,,,,,"0,4",,,,"100,1"
2022807,,,,,"14,6",,,,,,"1,2",,,,,,,,,,,"0,1",,,,,,,,,"0,2",,,,,,,,,,,,,,,,,,,,,"7,2",,,,1,,,"0,1",,,,,"42,6",,,,,,,,,,,,,,,23,,,,"10,2",,,,,"0,1",,,,,"100,3"
2022808,,,,,,,,,,,"1,2",,"36,6",1,,,,"0,8",,,,,,,,,,,,,,,,,,,,"0,1","0,1",,,,,,,,,58,"0,4",,,,,,,,,,,,,"0,2",,"0,2",,,,,,,,,,,,,,,,,,,"1,6",,,"0,1",,,,,,,"100,3"
2022809,,"8,4",,,"0,6","0,1",,,,,"2,8","0,6",11,"7,4",,,,"0,6","0,1","0,6",,,"0,2",,1,,,"0,4",,"0,1",,,,"0,1",,,"0,2",,"1,6",,"0,2",,,,,,,"1,8",,"0,4",,,,,,,,,,,"15,8","0,6",,"5,2","0,4",,,,3,,,,,,,,,,,,"0,2",,"23,2",,,,2,,"13,6",,,,"102,2"
2022810,,"0,4",,,"0,6",,,,,,"0,2",,"0,8","0,6",,,,"0,4","3,6","0,1",,,,,"0,1",,,"0,1",,,,"0,4",,,,,,,"0,6",,"21,4",,,,,,,,,1,,,,,,"0,1",,,,,"4,8","0,2",,"3,2",,,,,"0,4",,,,,,,,,,,,"0,1",,"60,8",,,,"0,1",,,,,,100
2022811,,28,,,"5,2",,,,,,,,,,,,,,,"0,1",,"0,1",,,,,,,,,,"3,6",,,"0,1",,,,,,,,,"0,8",,,,,"1,2",,,,,,,,,,,,"38,2","1,4",,"2,4",,,,,,,,,,,,,,,"4,4",,,,"14,6",,,,,,,,"0,2",,"100,3"
2022812,,,,,2,,,58,,,,,,,,,"0,4",,,,,"0,2",,,,,,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,6",,,"29,6","0,4",,,,,,,,,,,,,,,,,,"7,6",,,,,,,,1,,100
2022813,,,,,"4,8",,,"38,6",,,,,,,,,"0,4",,,,,"0,2",,,,,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,8",,,"45,4",,,,,,,,,,,,,,,,,,,"8,4",,,,,,,"0,4","0,6",,100
2022814,,,,,,,,,,,"0,1",,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,8",,,,1,,,,"0,1",,,,,,,,"0,8",,,,,,,,,,,,,,,,,,,"0,8",,,,,,,,,,"99,4"
2022815,,"0,2",,,"2,8",,,"38,8",,,,,,,,,,,,,"0,1","0,1",,,,"0,1",,"0,2",,,,,,,,,,,"0,1",,,,,,,,,,"0,1",,,,,,,,,"0,4",,,,,,"49,6","0,4",,,,,,,,,,,,,,,,"0,2",,"6,8",,,,,,,,"0,6",,"100,5"
2022816,,,,,,,,,,,,,,,,,,,,,,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,"74,8",,,,,,,,,,,,,,,,,,,,,,,,,"0,2",,,,,,25,,,,"0,1",,,,,,,,,,"100,2"
2022817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
2022818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
2022819,,,,,,,,,,,,,,,,,,,,,,,,,"0,1",,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,1",,9,,,,,,,,,,,,,,"100,2"
2022820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
2022821,,,,,,,,,,,"21,8",,,,,,,,,,,,,,,"2,2",,,,,,,"0,8",,,,,,,,,,,,,,,"53,8",,,,,,,,,,,,,,,,,,,,"0,1",,,,,"0,4",,,,,"13,2","4,6",,,,2,,,,,,"1,2",,,,"100,1"
2022822,,1,,,,,,,,,"2,4",,,,,,"5,2",,,,,"0,4",,,,,,,,,,,"8,2",,,,,,,,,,,,,,,"29,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,4",,"4,8",10,,,,,,1,,,,100
